dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
0,120,7.2,1.469693845669907,9.0,2.756809750418044
0,121,8.4,2.1540659228538015,9.0,2.756809750418044
0,122,9.0,2.5298221281347035,10.4,4.127953488110059
0,123,7.6,2.4166091947189146,9.8,3.1240998703626617
0,124,8.8,2.7856776554368237,10.2,4.261455150532503
0,125,7.8,1.6,10.4,3.7735924528226414
0,126,9.8,3.4292856398964493,9.2,1.9390719429665317
0,127,8.0,1.6733200530681511,12.4,2.33238075793812
0,128,8.2,1.3266499161421599,10.4,1.8547236990991407
1,1,38.8,1.9390719429665317,38.8,1.9390719429665317
1,2,32.6,3.7202150475476548,29.8,0.7483314773547882
1,3,27.6,3.4409301068170506,29.2,2.4
1,4,20.0,3.3466401061363023,21.4,3.7202150475476548
1,5,20.2,1.9390719429665315,25.2,3.6
1,6,14.2,2.7856776554368237,17.6,2.6532998322843198
1,7,15.6,2.244994432064365,18.8,2.9257477676655586
1,8,11.8,2.3151673805580453,14.4,2.0591260281974
1,9,11.6,4.317406628984581,13.8,2.6381811916545836
1,10,13.0,4.049691346263317,14.2,0.9797958971132713
1,11,13.6,2.939387691339814,13.0,1.6733200530681511
1,12,9.4,2.727636339397171,10.6,2.939387691339814
1,13,7.4,1.8547236990991407,10.0,5.176871642217914
1,14,9.2,1.8330302779823358,10.4,1.9595917942265424
1,15,10.2,2.7856776554368237,9.8,2.1354156504062622
1,16,11.4,4.223742416388575,8.8,3.1240998703626617
1,17,10.4,1.3564659966250536,6.8,2.638181191654584
1,18,7.0,2.280350850198276,9.4,4.223742416388575
1,19,9.2,2.4819347291981715,7.6,2.244994432064365
1,20,7.6,2.33238075793812,7.8,1.469693845669907
1,21,8.2,2.2271057451320084,7.6,3.1999999999999997
1,22,7.4,3.0724582991474434,6.0,1.0954451150103321
1,23,4.0,2.5298221281347035,5.2,0.9797958971132712
