binning_mode,mode_name,num_levels,vector_dimension,dataset,uniform_validation,uniform_test,advanced_validation,advanced_test
0,uniform,45,1024,3,0.96766744,0.97931034,0.96766744,0.97931034
0,uniform,45,1536,0,0.88452656,0.9862069,0.88452656,0.9862069
0,uniform,45,1536,1,0.90069284,0.81724138,0.90069284,0.81724138
0,uniform,45,1536,2,0.81293303,0.85172414,0.81293303,0.85172414
0,uniform,45,1536,3,0.96535797,0.96896552,0.96535797,0.96896552
0,uniform,45,2048,0,0.87066975,0.98275862,0.87066975,0.98275862
0,uniform,45,2048,1,0.92147806,0.87241379,0.92147806,0.87241379
0,uniform,45,2048,2,0.79445727,0.84827586,0.79445727,0.84827586
0,uniform,45,2048,3,0.96766744,0.96206897,0.96766744,0.96206897
0,uniform,45,3072,0,0.85681293,0.98275862,0.85681293,0.98275862
0,uniform,45,3072,1,0.91224018,0.87931034,0.91224018,0.87931034
0,uniform,45,3072,2,0.80369515,0.85172414,0.80369515,0.85172414
0,uniform,45,3072,3,0.98614319,0.97931034,0.98614319,0.97931034
0,uniform,45,4096,0,0.84526559,0.9862069,0.84526559,0.9862069
0,uniform,45,4096,1,0.93533487,0.87241379,0.93533487,0.87241379
0,uniform,45,4096,2,0.79445727,0.85172414,0.79445727,0.85172414
0,uniform,45,4096,3,0.96997691,0.97931034,0.96997691,0.97931034
0,uniform,45,5120,0,0.87759815,0.9862069,0.87759815,0.9862069
0,uniform,45,5120,1,0.87990762,0.77241379,0.87990762,0.77241379
0,uniform,45,5120,2,0.78290993,0.85172414,0.78290993,0.85172414
0,uniform,45,5120,3,0.97459584,0.98275862,0.97459584,0.98275862
0,uniform,45,6144,0,0.88452656,0.9862069,0.88452656,0.9862069
0,uniform,45,6144,1,0.87066975,0.78275862,0.87066975,0.78275862
0,uniform,45,6144,2,0.77136259,0.85172414,0.77136259,0.85172414
0,uniform,45,6144,3,0.98152425,0.97241379,0.98152425,0.97241379
0,uniform,45,7168,0,0.88221709,0.9862069,0.88221709,0.9862069
0,uniform,45,7168,1,0.88452656,0.77586207,0.88452656,0.77586207
0,uniform,45,7168,2,0.78752887,0.84482759,0.78752887,0.84482759
0,uniform,45,7168,3,0.97459584,0.97931034,0.97459584,0.97931034
0,uniform,45,8192,0,0.87759815,0.9862069,0.87759815,0.9862069
0,uniform,45,8192,1,0.88683603,0.8137931,0.88683603,0.8137931
0,uniform,45,8192,2,0.78290993,0.85172414,0.78290993,0.85172414
0,uniform,45,8192,3,0.96766744,0.97241379,0.96766744,0.97241379
0,uniform,50,512,0,0.87528868,0.97586207,0.87528868,0.97586207
0,uniform,50,512,1,0.8591224,0.65517241,0.8591224,0.65517241
0,uniform,50,512,2,0.78983834,0.82413793,0.78983834,0.82413793
0,uniform,50,512,3,0.97921478,0.95172414,0.97921478,0.95172414
0,uniform,50,1024,0,0.84757506,0.98965517,0.84757506,0.98965517
0,uniform,50,1024,1,0.86605081,0.68275862,0.86605081,0.68275862
0,uniform,50,1024,2,0.76443418,0.84137931,0.76443418,0.84137931
0,uniform,50,1024,3,0.98152425,0.96896552,0.98152425,0.96896552
0,uniform,50,1536,0,0.89376443,0.9862069,0.89376443,0.9862069
0,uniform,50,1536,1,0.90531178,0.66896552,0.90531178,0.66896552
0,uniform,50,1536,2,0.80369515,0.84482759,0.80369515,0.84482759
0,uniform,50,1536,3,0.96766744,0.93793103,0.96766744,0.93793103
0,uniform,50,2048,0,0.88452656,0.9862069,0.88452656,0.9862069
0,uniform,50,2048,1,0.89145497,0.67931034,0.89145497,0.67931034
0,uniform,50,2048,2,0.80831409,0.84137931,0.80831409,0.84137931
0,uniform,50,2048,3,0.98152425,0.94137931,0.98152425,0.94137931
0,uniform,50,3072,0,0.82678984,0.9862069,0.82678984,0.9862069
0,uniform,50,3072,1,0.89838337,0.60344828,0.89838337,0.60344828
0,uniform,50,3072,2,0.81524249,0.84482759,0.81524249,0.84482759
0,uniform,50,3072,3,0.98614319,0.95862069,0.98614319,0.95862069
0,uniform,50,4096,0,0.86143187,0.9862069,0.86143187,0.9862069
0,uniform,50,4096,1,0.90300231,0.68275862,0.90300231,0.68275862
0,uniform,50,4096,2,0.78983834,0.84827586,0.78983834,0.84827586
0,uniform,50,4096,3,0.98614319,0.94827586,0.98614319,0.94827586
0,uniform,50,5120,0,0.88221709,0.9862069,0.88221709,0.9862069
0,uniform,50,5120,1,0.90300231,0.66551724,0.90300231,0.66551724
0,uniform,50,5120,2,0.79214781,0.85172414,0.79214781,0.85172414
0,uniform,50,5120,3,0.98383372,0.94827586,0.98383372,0.94827586
0,uniform,50,6144,0,0.88683603,0.98275862,0.88683603,0.98275862
0,uniform,50,6144,1,0.89838337,0.68275862,0.89838337,0.68275862
0,uniform,50,6144,2,0.7852194,0.84482759,0.7852194,0.84482759
0,uniform,50,6144,3,0.98383372,0.95517241,0.98383372,0.95517241
0,uniform,50,7168,0,0.88452656,0.9862069,0.88452656,0.9862069
0,uniform,50,7168,1,0.90069284,0.70689655,0.90069284,0.70689655
0,uniform,50,7168,2,0.79676674,0.84482759,0.79676674,0.84482759
0,uniform,50,7168,3,0.98845266,0.95517241,0.98845266,0.95517241
0,uniform,50,8192,0,0.87990762,0.98965517,0.87990762,0.98965517
0,uniform,50,8192,1,0.90531178,0.70344828,0.90531178,0.70344828
0,uniform,50,8192,2,0.77136259,0.85172414,0.77136259,0.85172414
0,uniform,50,8192,3,0.98614319,0.94827586,0.98614319,0.94827586
0,uniform,55,512,0,0.83140878,0.97931034,0.83140878,0.97931034
0,uniform,55,512,1,0.88221709,0.63103448,0.88221709,0.63103448
0,uniform,55,512,2,0.79445727,0.83103448,0.79445727,0.83103448
0,uniform,55,512,3,0.99076212,0.9862069,0.99076212,0.9862069
0,uniform,55,1024,0,0.81293303,0.97586207,0.81293303,0.97586207
0,uniform,55,1024,1,0.90531178,0.67241379,0.90531178,0.67241379
0,uniform,55,1024,2,0.77367206,0.84482759,0.77367206,0.84482759
0,uniform,55,1024,3,0.96766744,0.97931034,0.96766744,0.97931034
0,uniform,55,1536,0,0.89376443,0.98275862,0.89376443,0.98275862
0,uniform,55,1536,1,0.89376443,0.71034483,0.89376443,0.71034483
0,uniform,55,1536,2,0.81062356,0.84482759,0.81062356,0.84482759
0,uniform,55,1536,3,0.98845266,0.98275862,0.98845266,0.98275862
0,uniform,55,2048,0,0.87528868,0.9862069,0.87528868,0.9862069
0,uniform,55,2048,1,0.91224018,0.67931034,0.91224018,0.67931034
0,uniform,55,2048,2,0.81524249,0.85172414,0.81524249,0.85172414
0,uniform,55,2048,3,0.99076212,0.98275862,0.99076212,0.98275862
